City, Url 
Golden Valley, https://www.foodpantries.org/ci/mn-golden_valley 
Grand Forks, https://www.foodpantries.org/ci/mn-grand_forks 
Grand Marais, https://www.foodpantries.org/ci/mn-grand_marais 
Grand Meadow, https://www.foodpantries.org/ci/mn-grand_meadow 
Grand Rapids, https://www.foodpantries.org/ci/mn-grand_rapids 
Granite Falls, https://www.foodpantries.org/ci/mn-granite_falls 
Greenbush, https://www.foodpantries.org/ci/mn-greenbush 
Hackensack, https://www.foodpantries.org/ci/mn-hackensack 
Hallock, https://www.foodpantries.org/ci/mn-hallock 
Hanover, https://www.foodpantries.org/ci/mn-hanover 
Hastings, https://www.foodpantries.org/ci/mn-hastings 
Hawley, https://www.foodpantries.org/ci/mn-hawley 
Hendrum, https://www.foodpantries.org/ci/mn-hendrum 
Henning, https://www.foodpantries.org/ci/mn-henning 
Hermantown, https://www.foodpantries.org/ci/mn-hermantown 
Heron Lake, https://www.foodpantries.org/ci/mn-heron_lake 
Hibbing, https://www.foodpantries.org/ci/mn-hibbing 
Hill City, https://www.foodpantries.org/ci/mn-hill_city 
Hinckley, https://www.foodpantries.org/ci/mn-hinckley 
Hokah, https://www.foodpantries.org/ci/mn-hokah 
Hopkins, https://www.foodpantries.org/ci/mn-hopkins 
Houston, https://www.foodpantries.org/ci/mn-houston 
Hugo, https://www.foodpantries.org/ci/mn-hugo 
Hutchinson, https://www.foodpantries.org/ci/mn-hutchinson 
International Falls, https://www.foodpantries.org/ci/mn-international_falls 
Jacobson, https://www.foodpantries.org/ci/mn-jacobson 
Janesville, https://www.foodpantries.org/ci/mn-janesville 
Jordan, https://www.foodpantries.org/ci/mn-jordan 
Kasson, https://www.foodpantries.org/ci/mn-kasson 
Kenyon, https://www.foodpantries.org/ci/mn-kenyon 
Kimball, https://www.foodpantries.org/ci/mn-kimball 
La Crescent, https://www.foodpantries.org/ci/mn-la_crescent 
Lafayette, https://www.foodpantries.org/ci/mn-lafayette 
Lake Benton, https://www.foodpantries.org/ci/mn-lake_benton 
Lake Bronson, https://www.foodpantries.org/ci/mn-lake_bronson 
Lake City, https://www.foodpantries.org/ci/mn-lake_city 
Lakefield, https://www.foodpantries.org/ci/mn-lakefield 
Lakeville, https://www.foodpantries.org/ci/mn-lakeville 
Le Center, https://www.foodpantries.org/ci/mn-le_center 
Le Roy, https://www.foodpantries.org/ci/mn-le_roy 
Le Sueur, https://www.foodpantries.org/ci/mn-le_sueur 
LeRoy, https://www.foodpantries.org/ci/mn-leroy 
Litchfield, https://www.foodpantries.org/ci/mn-litchfield 
Little Falls, https://www.foodpantries.org/ci/mn-little_falls 
Long Prairie, https://www.foodpantries.org/ci/mn-long_prairie 
Lonsdale, https://www.foodpantries.org/ci/mn-lonsdale 
Luverne, https://www.foodpantries.org/ci/mn-luverne 
Mabel, https://www.foodpantries.org/ci/mn-mabel 
Madelia, https://www.foodpantries.org/ci/mn-madelia 
Madison, https://www.foodpantries.org/ci/mn-madison 
Mahnomen, https://www.foodpantries.org/ci/mn-mahnomen 
Mahomedi, https://www.foodpantries.org/ci/mn-mahomedi 
Mahtomedi, https://www.foodpantries.org/ci/mn-mahtomedi 
Mankato, https://www.foodpantries.org/ci/mn-mankato 
Maple Plain, https://www.foodpantries.org/ci/mn-maple_plain 
Mapleton, https://www.foodpantries.org/ci/mn-mapleton 
Marshall, https://www.foodpantries.org/ci/mn-marshall 
McGregor, https://www.foodpantries.org/ci/mn-mcgregor 
Melrose, https://www.foodpantries.org/ci/mn-melrose 
Menahga, https://www.foodpantries.org/ci/mn-menahga 
Milaca, https://www.foodpantries.org/ci/mn-milaca 
Minneapolis, https://www.foodpantries.org/ci/mn-minneapolis 
Minnetonka, https://www.foodpantries.org/ci/mn-minnetonka 
Montevideo, https://www.foodpantries.org/ci/mn-montevideo 
Montgomery, https://www.foodpantries.org/ci/mn-montgomery 
Monticello, https://www.foodpantries.org/ci/mn-monticello 
Moorhead, https://www.foodpantries.org/ci/mn-moorhead 
Moose Lake, https://www.foodpantries.org/ci/mn-moose_lake 
Mora, https://www.foodpantries.org/ci/mn-mora 
Morris, https://www.foodpantries.org/ci/mn-morris 
Morton, https://www.foodpantries.org/ci/mn-morton 
Motley, https://www.foodpantries.org/ci/mn-motley 
Mound, https://www.foodpantries.org/ci/mn-mound 
Mounds View, https://www.foodpantries.org/ci/mn-mounds_view 
Mountain Lake, https://www.foodpantries.org/ci/mn-mountain_lake 
New Hope, https://www.foodpantries.org/ci/mn-new_hope 
New Prague, https://www.foodpantries.org/ci/mn-new_prague 
New Richland, https://www.foodpantries.org/ci/mn-new_richland 
New Ulm, https://www.foodpantries.org/ci/mn-new_ulm 
New York Mills, https://www.foodpantries.org/ci/mn-new_york_mills 
North Branch, https://www.foodpantries.org/ci/mn-north_branch 
North Saint Paul, https://www.foodpantries.org/ci/mn-north_saint_paul 
Northfield, https://www.foodpantries.org/ci/mn-northfield 
Northome, https://www.foodpantries.org/ci/mn-northome 
Norwood Young America, https://www.foodpantries.org/ci/mn-norwood_young_america 
Norwood-Young America, https://www.foodpantries.org/ci/mn-norwood-young_america 
Oakdale, https://www.foodpantries.org/ci/mn-oakdale 
Ogilvie, https://www.foodpantries.org/ci/mn-ogilvie 
Oklee, https://www.foodpantries.org/ci/mn-oklee 
Olivia, https://www.foodpantries.org/ci/mn-olivia 
Onamia, https://www.foodpantries.org/ci/mn-onamia 
Oronoco, https://www.foodpantries.org/ci/mn-oronoco 
Ortonville, https://www.foodpantries.org/ci/mn-ortonville 
Owatonna, https://www.foodpantries.org/ci/mn-owatonna 
Park Rapids, https://www.foodpantries.org/ci/mn-park_rapids 
Paynesville, https://www.foodpantries.org/ci/mn-paynesville 
Pelican Rapids, https://www.foodpantries.org/ci/mn-pelican_rapids 
Pequot Lakes, https://www.foodpantries.org/ci/mn-pequot_lakes 
Perham, https://www.foodpantries.org/ci/mn-perham 
Pierz, https://www.foodpantries.org/ci/mn-pierz 
Pillager, https://www.foodpantries.org/ci/mn-pillager 
Pine City, https://www.foodpantries.org/ci/mn-pine_city 
Pine Island, https://www.foodpantries.org/ci/mn-pine_island 
Pine River, https://www.foodpantries.org/ci/mn-pine_river 
Pipestone, https://www.foodpantries.org/ci/mn-pipestone 
Plainview, https://www.foodpantries.org/ci/mn-plainview 
Plymouth, https://www.foodpantries.org/ci/mn-plymouth 
Preston, https://www.foodpantries.org/ci/mn-preston 
Princeton, https://www.foodpantries.org/ci/mn-princeton 
Proctor, https://www.foodpantries.org/ci/mn-proctor 
Red Lake, https://www.foodpantries.org/ci/mn-red_lake 
Red Lake Falls, https://www.foodpantries.org/ci/mn-red_lake_falls 
Red Wing, https://www.foodpantries.org/ci/mn-red_wing 
Redwood Falls, https://www.foodpantries.org/ci/mn-redwood_falls 
Remer, https://www.foodpantries.org/ci/mn-remer 
Rice, https://www.foodpantries.org/ci/mn-rice 
Richfield, https://www.foodpantries.org/ci/mn-richfield 
Rochester, https://www.foodpantries.org/ci/mn-rochester 
Rockford, https://www.foodpantries.org/ci/mn-rockford 
Rogers, https://www.foodpantries.org/ci/mn-rogers 
Roseau, https://www.foodpantries.org/ci/mn-roseau 
Rosemount, https://www.foodpantries.org/ci/mn-rosemount 
Roseville, https://www.foodpantries.org/ci/mn-roseville 
Rush City, https://www.foodpantries.org/ci/mn-rush_city 
Rushford, https://www.foodpantries.org/ci/mn-rushford 
Saint Charles, https://www.foodpantries.org/ci/mn-saint_charles 
Saint Cloud, https://www.foodpantries.org/ci/mn-saint_cloud 
Saint James, https://www.foodpantries.org/ci/mn-saint_james 
Saint Louis Park, https://www.foodpantries.org/ci/mn-saint_louis_park 
Saint Paul, https://www.foodpantries.org/ci/mn-saint_paul 
Saint Paul Park, https://www.foodpantries.org/ci/mn-saint_paul_park 
Saint Peter, https://www.foodpantries.org/ci/mn-saint_peter 
Sandstone, https://www.foodpantries.org/ci/mn-sandstone 
Sauk Centre, https://www.foodpantries.org/ci/mn-sauk_centre 
Scandia, https://www.foodpantries.org/ci/mn-scandia 
Sebeka, https://www.foodpantries.org/ci/mn-sebeka 
Shakopee, https://www.foodpantries.org/ci/mn-shakopee 
Silver Bay, https://www.foodpantries.org/ci/mn-silver_bay 
Slayton, https://www.foodpantries.org/ci/mn-slayton 
Sleepy Eye, https://www.foodpantries.org/ci/mn-sleepy_eye 
South Saint Paul, https://www.foodpantries.org/ci/mn-south_saint_paul 
Spicer, https://www.foodpantries.org/ci/mn-spicer 
Spring Valley, https://www.foodpantries.org/ci/mn-spring_valley 
Springfield, https://www.foodpantries.org/ci/mn-springfield 
St Charles, https://www.foodpantries.org/ci/mn-st_charles 
St Cloud, https://www.foodpantries.org/ci/mn-st_cloud 
St Louis Park, https://www.foodpantries.org/ci/mn-st_louis_park 
St Paul, https://www.foodpantries.org/ci/mn-st_paul 
St Paul Park, https://www.foodpantries.org/ci/mn-st_paul_park 
St. Paul, https://www.foodpantries.org/ci/mn-st._paul 
Stacy, https://www.foodpantries.org/ci/mn-stacy 
Staples, https://www.foodpantries.org/ci/mn-staples 
Stillwater, https://www.foodpantries.org/ci/mn-stillwater 
Strandquist, https://www.foodpantries.org/ci/mn-strandquist 
Thief River Falls, https://www.foodpantries.org/ci/mn-thief_river_falls 
Tower, https://www.foodpantries.org/ci/mn-tower 
Tracy, https://www.foodpantries.org/ci/mn-tracy 
Two Harbors, https://www.foodpantries.org/ci/mn-two_harbors 
Tyler, https://www.foodpantries.org/ci/mn-tyler 
Verndale, https://www.foodpantries.org/ci/mn-verndale 
Virginia, https://www.foodpantries.org/ci/mn-virginia 
Wabasha, https://www.foodpantries.org/ci/mn-wabasha 
Wabasso, https://www.foodpantries.org/ci/mn-wabasso 
Waconia, https://www.foodpantries.org/ci/mn-waconia 
Wadena, https://www.foodpantries.org/ci/mn-wadena 
Wahpeton, https://www.foodpantries.org/ci/mn-wahpeton 
Walker, https://www.foodpantries.org/ci/mn-walker 
Walnut Grove, https://www.foodpantries.org/ci/mn-walnut_grove 
Warroad, https://www.foodpantries.org/ci/mn-warroad 
Waseca, https://www.foodpantries.org/ci/mn-waseca 
Watertown, https://www.foodpantries.org/ci/mn-watertown 
Waverly, https://www.foodpantries.org/ci/mn-waverly 
Wells, https://www.foodpantries.org/ci/mn-wells 
Westbrook, https://www.foodpantries.org/ci/mn-westbrook 
Wheaton, https://www.foodpantries.org/ci/mn-wheaton 
White Bear Lake, https://www.foodpantries.org/ci/mn-white_bear_lake 
Willmar, https://www.foodpantries.org/ci/mn-willmar 
Windom, https://www.foodpantries.org/ci/mn-windom 
Winona, https://www.foodpantries.org/ci/mn-winona 
Worthington, https://www.foodpantries.org/ci/mn-worthington 
Wykoff, https://www.foodpantries.org/ci/mn-wykoff 
Zumbro Falls , https://www.foodpantries.org/ci/mn-zumbro_falls 
Zumbrota, https://www.foodpantries.org/ci/mn-zumbrota 
